id,title,companyName,listingDate,locations,salaryLabel,teaser
85407087,Programmer/Analyst Programmer,Qualicom Innovations Asia Ltd,2025-07-03T01:46:17Z,"Kowloon Bay, Kwun Tong District",,Develop and implement enterprise-grade responsive web & mobile applications; Understanding of cross-browser compatibility / responsive design
85168562,Product Analyst,Principal Asset Management,2025-06-25T08:52:06Z,Wan Chai District,,"Join Our Dynamic Team as a Product Analyst at Principal Asset Management! As a Product Analyst, you'll showcase our investment strategies."
85425039,Project Manager / Business Analyst - Global Bank,TEKsystems,2025-07-03T04:05:14Z,"Central, Central and Western District","$70,000 – $80,000 per month","Looking for a PMO opportunity with Global Bank, joining the Portfolio Team to deliver impactful solutions across the Global Markets business"
85373175,Digital Marketing Executive | Media planning,Vita Green,2025-07-02T08:11:47Z,"Tsim Sha Tsui, Yau Tsim Mong District",,"You'll be enhancing our capability of digital performance in all digital marketing channels, and social media platforms."
85199326,Senior Data Analyst,Expofreight (Hong Kong) Limited,2025-06-26T07:59:02Z,"Tsim Sha Tsui, Yau Tsim Mong District",,"Collaborate with stakeholders to elicit, analyze, and document business and technical requirements."
85252980,Data Engineer (DBA) – MongoDB Expert,Smarthire by SEEK,2025-06-30T02:02:36Z,"Cyberport, Southern District",,"Our client ""Real Corporation Limited"" is seeking a Data Engineer (DBA) – MongoDB Expert to join their team!"
84886767,Analyst,,2025-06-13T00:46:58Z,Central and Western District,"$50,000 – $75,000 per month","Engage in in-depth manager due diligence, shape risk strategies, and collaborate with senior leadership."
85378564,Business Analyst - Leading International Bank (Up To $45K),Michael Page,2025-07-02T10:36:41Z,Central and Western District,$30k - $45k p.m.,"Join HSBC as a Business Analyst-gain regional exposure, manage impactful projects, and grow your skills in a top-tier financial institution."
84665885,SAP Specialist,De'Longhi Group,2025-06-03T11:24:52Z,"Cheung Sha Wan, Sham Shui Po District",,Perform program modification and performance improvement in relation to SAP .
85103303,System Analyst,Tycoon Group,2025-06-23T07:30:06Z,"Fo Tan, Sha Tin District",,Provide solutions and support on Microsoft D365 F&O project
85034376,"Technical Support Analyst, IT",BOCI-Prudential Trustee Limited,2025-06-19T06:52:30Z,"Tai Koo, Eastern District",,"Administer and manager Microsoft servers
Troubleshooting system, storage & network problems, diagnose and solve hardware/software incidents/problems."
84982903,Data Engineer,Gleneagles Hospitals,2025-06-17T09:33:13Z,Southern District,,"Design, build and maintain the organization's data infrastructure, including databases, data pipelines, and data storage solutions"
84997072,Japanese Speaking Market Analyst マーケットアナリスト,Succeed Holdings,2025-06-18T02:48:37Z,"Tsing Yi, Kwai Tsing District",,We are looking for a team-oriented talent with marketing analyst experience to join our team.
84681659,Business Analyst / Product Owner – Banking Digitalisation Programme,Pinpoint Asia Limited,2025-06-04T03:26:27Z,"Admiralty, Central and Western District","$70,000 – $90,000 per month",One who has not only honed their skill set in business analysis but also possesses a nuanced understanding of banking regulations and requirements
85256888,Junior Project Analyst (Major FSI),Cornerstone Global Partners,2025-06-30T03:44:29Z,"Central, Central and Western District","$24,000 – $32,000 per month",Project Analyst - Major FSI
85205578,Finance Operations Analyst,JNL Consulting Limited,2025-06-26T11:34:33Z,Hong Kong Island,,This role supports daily finance operations and ensures accuracy and integrity of financial data & processes during business-as-usual and initiatives.
